pert_iname	moa
otenzepad	Acetylcholine receptor antagonist
ML-161	Protease inhibitor
CGP-52432	GABA receptor antagonist
BRD-K02581333	Tyrosine phosphatase inhibitor
ticlopidine	Purinergic receptor antagonist
dipropyl-5ct	Serotonin receptor agonist
fenbendazole	Tubulin inhibitor
catechin	Beta secretase inhibitor|Fatty acid synthase inhibitor|LDL antioxidants
racecadotril	Enkephalinase inhibitor
SKF-81297	Dopamine receptor agonist
GR-206	Aryl hydrocarbon receptor ligand
fenbufen	Cyclooxygenase inhibitor
enalapril	ACE inhibitor
alfadolone-acetate	GABA receptor agonist
BRD-K04923131	GSK inhibitor|Lipoxygenase inhibitor
BRD-A80383043	Glutamate receptor agonist|Glutamate receptor antagonist
thiostrepton	Protein synthesis inhibitor
amitriptyline	Norepinephrine inhibitor|Norepinephrine reuptake inhibitor|Serotonin receptor antagonist|Serotonin reuptake inhibitor
PD-184352	MEK inhibitor
KIN001-055	EGFR inhibitor|JAK inhibitor|Leukotriene inhibitor|Mediator release inhibitor
I-OMe-AG-538	IGF-1 inhibitor
W-9	Calmodulin inhibitor
lofexidine	Adrenergic receptor agonist
levothyroxine	Thyroid hormone stimulant
dantrolene	Calcium channel blocker
rescinnamine	ACE inhibitor
pimobendan	Calcium channel blocker|Phosphodiesterase inhibitor
baricitinib	JAK inhibitor
skatole	Thrombin inhibitor
levomequitazine	Histamine receptor antagonist
Y-39983	Rho associated kinase inhibitor
puromycin	Protein synthesis inhibitor
fursultiamine	Vitamin B
budesonide	Glucocorticoid receptor agonist
VX-809	CFTR channel agonist
LCQ-908	Diacylglycerol O acyltransferase inhibitor
T-0901317	LXR agonist|ABC transporter expression enhancer|ROR inverse agonist
nerol	Polyamine biosynthesis inhibitor
oxymetholone	Androgen receptor agonist
BRD-K52640952	Topoisomerase inhibitor
maprotiline	Norepinephrine reuptake inhibitor|Tricyclic antidepressant
NNC-55-0396	Calcium channel blocker
fluorouracil	Thymidylate synthase inhibitor
targinine	Nitric oxide synthase inhibitor
JTE-907	Cannabinoid receptor antagonist
BRD-A20131130	Adenylyl cyclase inhibitor
EMD-53998	Phosphodiesterase inhibitor
NBI-27914	CRF receptor antagonist
RS-16566	Serotonin receptor antagonist
diphencyprone	Immunostimulant
BRD-K50495309	Src inhibitor
hydroxyfasudil	Rho associated kinase inhibitor
DPI-201106	Sodium channel activator
saracatinib	Src inhibitor
molindone	Dopamine receptor antagonist
inhibitor-BEC	Arginase inhibitor
enoxolone	Gap junction modulator
vanoxerine	Dopamine receptor antagonist
rizatriptan	Serotonin receptor agonist
MK-5108	Aurora kinase inhibitor
empagliflozin	Sodium channel inhibitor
PD-123319	Angiotensin antagonist
reichstein	Androgen receptor antagonist
BRD-K14696368	NFKB inhibitor
2-aminopurine	Serine/threonine kinase inhibitor
capecitabine	DNA inhibitor|Thymidylate synthase inhibitor
cabazitaxel	Tubulin inhibitor
foretinib	VEGFR inhibitor
ethylenediaminetetraacetic-acid	PKC inhibitor
hexamethylenebisacetamide	AKT inhibitor|Differentiation inducer|NFKB inhibitor
tebipenem	Bacterial cell wall synthesis inhibitor
KPT-185	Exportin antagonist
wnt-c59	Porcupine inhibitor
NECA	Adenosine receptor agonist
olmesartan-medoxomil	Angiotensin receptor antagonist
BRD-K76674262	Protein synthesis inhibitor
guanadrel	Adrenergic inhibitor
tebuthiuron	Photosynthesis inhibitor
PS-178990	Androgen receptor antagonist
JW-74	WNT inhibitor|Tankyrase inhibitor
atipamezole	Adrenergic receptor antagonist
TCB2	Serotonin receptor agonist
austricine	Hypolipidemic
stiripentol	GABA receptor antagonist
rotundine	Serotonin receptor agonist
idoxuridine	DNA inhibitor
hydrastinine	Haemostatic agent
amtolmetin-guacil	Cyclooxygenase inhibitor
benzopurpurin-4b	Binds HIV gp120 and inhibits HIV-1 entry into the neural cell line SK-N-MC
3-CPMT	Dopamine receptor antagonist
sulforaphane	Carcinogen|Aryl hydrocarbon receptor antagonist
ceramide	Serine/threonine protein phosphatase activator
L-168049	Glucagon receptor antagonist
orlistat	Lipase inhibitor
tiludronate	Bone resorption inhibitor|Osteoclast inhibitor
tianeptine	Selective serotonin reuptake inhibitor (SSRI)
UNC-1215	L3MBTL antagonist
quercetagetin	PIM inhibitor
MK-3207	Calcitonin antagonist
IOWH-032	CFTR channel antagonist
ezetimibe	Cholesterol inhibitor|Niemann-Pick C1-like 1 protein antagonist
BRD-A15914070	Carcinogen
piketoprofen	Cyclooxygenase inhibitor
carmofur	Thymidylate synthase inhibitor
epoxycholesterol	LXR agonist
SGI-1776	PIM inhibitor
ATPA	Glutamate receptor agonist
xanthinol	Vasodilator
flumazenil	Benzodiazepine receptor antagonist
RG-7388	MDM inhibitor
sulfamerazine	Bacterial antifolate
bitopertin	Glycine transporter inhibitor
BRD-K99615199	Progesterone receptor agonist
imiloxan	Adrenergic receptor antagonist
P-22077	Ubiquitin specific protease inhibitor
dyclonine	Sodium channel inhibitor
enalapril	Angiotensin converting enzyme inhibitor
ATN-161	Integrin inhibitor
sildenafil	Phosphodiesterase inhibitor
spironolactone	Mineralocorticoid receptor antagonist
foliosidine	Plant alkaloid
ataluren	CFTR channel agonist|Dystrophin stimulant
IOX-1	Histone lysine demethylase inhibitor
flupentixol	Dopamine receptor antagonist
cefotiam	Bacterial cell wall synthesis inhibitor
ZK-93423	Benzodiazepine receptor agonist
AMG-208	Tyrosine kinase inhibitor
GYKI-52466	Glutamate receptor antagonist|Kainate receptor antagonist
CGP-7930	GABA receptor antagonist|GABA receptor agonist
folic-acid	Folate receptor ligand
SA-94315	Caspase inhibitor
afloqualone	Acetylcholine receptor antagonist
oxibendazole	Tubulin inhibitor
tamoxifen	Selective estrogen receptor modulator
L-741742	Dopamine receptor antagonist
BRD-K61463582	Aryl hydrocarbon receptor agonist
deltaline	Acetylcholine receptor antagonist
reboxetine	Adrenergic receptor antagonist
DR-2313	PARP inhibitor
PCI-34051	HDAC inhibitor
epinastine	Histamine receptor antagonist
propafenone	Antiarrhythmic
dydrogesterone	Progesterone receptor agonist
aripiprazole	Serotonin receptor agonist|Serotonin receptor antagonist
niflumic-acid	Cyclooxygenase inhibitor
resorcinol	Phosphodiesterase inhibitor
3-matida	Glutamate receptor antagonist
ergocornine	Dopamine receptor agonist
NCH-51	HDAC inhibitor
deoxycorticosterone-acetate	Progestogen hormone
naproxol	Anti-inflammatory
AZD-5438	CDK inhibitor
allopurinol	Xanthine oxidase inhibitor
tiotropium	Acetylcholine receptor antagonist
ischemin	CBP bromodomain inhibitor
trimethadione	Oxazolidine antiepileptic
cyclizine	Histamine receptor antagonist
DMBI	PDGFR inhibitor|VEGFR inhibitor
RS-102221	Serotonin receptor antagonist
dosulepin	Norepinephrine inhibitor|Serotonin reuptake inhibitor|Tricyclic antidepressant
clomifene	Estrogen receptor antagonist
KU-C103871	GSP agonist
EVP-6124	Acetylcholine receptor agonist
memantine	Glutamate receptor antagonist
immethridine	Histamine receptor agonist
NSC-94258	Carcinogen
GMX-1778	NAMPT inhibitor
amuvatinib	FLT3 inhibitor|KIT inhibitor|PDGFR inhibitor|RAD51 inhibitor|RET tyrosine kinase inhibitor
apixaban	Coagulation factor inhibitor
tiagabine	GABA receptor antagonist
roquinimex	Angiogenesis inhibitor|TNF inhibitor
ciprofloxacin	Bacterial DNA Gyrase inhibitor
ipsapirone	Serotonin receptor agonist
anpirtoline	Serotonin receptor agonist
VU-0400193-3	Glutamate receptor antagonist
SC-12267	Dihydroorotate dehydrogenase inhibitor
phenothiazine	Dopamine receptor antagonist
GW-0742	PPAR receptor agonist|Insulin sensitizer
etoricoxib	Cyclooxygenase inhibitor
WYE-354	MTOR inhibitor
ricinine	Casein kinase inhibitor
dioxybenzone	Topical sunscreen agent
BRD-K20620780	Dopamine receptor antagonist
nefazodone	Serotonin receptor antagonist|Adrenergic receptor antagonist|Norepinephrine reuptake inhibitor|Serotonin reuptake inhibitor
GSK-2110183	AKT inhibitor
BRD-K34533029	EGFR inhibitor
TH-302	DNA alkylating agent
TG-100801	Src inhibitor|VEGFR inhibitor
trihexyphenidyl	Acetylcholine receptor antagonist
PF-543	Sphingosine kinase inhibitor
amlexanox	Histamine receptor antagonist
benazepril	Angiotensin converting enzyme inhibitor
pemoline	Dopamine receptor agonist
limonin	HIV inhibitor
PD-123319	ACE inhibitor
SEP-227900	D-Amino Acid Oxidase Inhibitor
sulmazole	Adenosine receptor antagonist
fluconazole	Sterol demethylase inhibitor
betamethasone-acetate	Glucocorticoid receptor agonist
oligomycin-a	ATP synthase inhibitor
quinidine	Sodium channel inhibitor
BMS-345541	IKK inhibitor
avasimibe	ACAT inhibitor
3-deazaadenosine	Adenosylhomocysteinase inhibitor
H-89	PKA inhibitor
BRD-K31342827	CDK inhibitor|PKC inhibitor
MC-1293	HDAC inhibitor
BRL-54443	Serotonin receptor agonist
CGP-52411	EGFR inhibitor
oxyphenonium	Cholinergic receptor antagonist
SIB-1893	Glutamate receptor antagonist
O-1918	Cannabinoid receptor antagonist
L-368899	Oxytocin receptor antagonist
sphingosine	Ceramidase inhibitor
BIX-02188	MEK inhibitor
brucine	Glycine receptor antagonist
vardenafil	Phosphodiesterase inhibitor
ivermectin	GABA receptor agonist
SB-221284	Serotonin receptor antagonist
A-443654	AKT inhibitor
suloctidil	Adrenergic receptor antagonist
rotenonic-acid	Retinoid receptor antagonist
ebelactone-b	Lipase inhibitor
masoprocol	Lipoxygenase inhibitor
deracoxib	Cyclooxygenase inhibitor
GANT-58	GLI antagonist
AT-406	IAP antagonist
PD-166793	Metalloproteinase inhibitor
cytarabine	Ribonucleotide reductase inhibitor
PNU-22394	Serotonin receptor agonist
NVP-AEW541	IGF-1 inhibitor
oxfendazole	Anthelmintic
arglabin	Farnesyltransferase inhibitor
PF-477736	CHK inhibitor
atracurium	Acetylcholine receptor antagonist
quipazine	Serotonin receptor agonist
nepafenac	Cyclooxygenase inhibitor
bezafibrate	PPAR receptor agonist
tivantinib	Tyrosine kinase inhibitor
mocimycin	Protein synthesis inhibitor
MY-5445	Phosphodiesterase inhibitor|Platelet aggregation inhibitor
apomorphine	Dopamine receptor agonist
resminostat	HDAC inhibitor
A-66	PI3K inhibitor
AGN-192403	Imidazoline receptor ligand
lavendustin-a	EGFR inhibitor
mead-acid	KPL-1 tumor suppressor
KU-C103443N	CDC inhibitor|Rho associated kinase inhibitor
propranolol	Adrenergic receptor antagonist
phenytoin	Hydantoin antiepileptic
prima-1-met	Thioredoxin inhibitor
acalabrutinib	BTK inhibitor
lersivirine	Non-nucleoside reverse transcriptase inhibitor
SRPIN-340	Serine arginine protein kinase inhibitor
erastin	Ion channel antagonist
tesaglitazar	Insulin sensitizer|PPAR receptor agonist
sulfacetamide	PABA antagonist
lamivudine	Nucleoside reverse transcriptase inhibitor
tobramycin	Bacterial 30S ribosomal subunit inhibitor
TER-14687	Inhibitor of translocation of PKCq in T cells
nimodipine	Calcium channel blocker
3-methyl-GABA	GABA aminotransferase activator
ML-3163	P38 MAPK inhibitor
metergoline	Dopamine receptor agonist|Serotonin receptor antagonist
nintedanib	FGFR inhibitor|PDGFR inhibitor|VEGFR inhibitor
LXR-623	LXR agonist
ropinirole	Dopamine receptor agonist
mefexamide	Psychoactive drug
iocetamic-acid	Radiopaque medium
fluperlapine	Serotonin receptor antagonist
SB-206553	Serotonin receptor antagonist
SCH-58261	Adenosine receptor antagonist
NNC-63-0532	Opioid receptor agonist
tangeritin	Cell cycle inhibitor
AG-490	EGFR inhibitor|ERBB2 inhibitor|JAK inhibitor
CI-966	GAT inhibitor
Gossypetin	DNA inhibitor
AMG-232	MDM inhibitor
montelukast	Leukotriene receptor antagonist
amcinonide	Glucocorticoid receptor agonist
norketamine	Glutamate receptor antagonist
splitomycin	SIRT inhibitor
dipivefrine	Adrenergic receptor agonist
alitretinoin	Retinoid receptor agonist
RX-821002	Adrenergic receptor antagonist
L-732138	Tachykinin antagonist
triciribine	Akt inhibitor
thenoyltrifluoroacetone	Chelating agent
cladribine	Adenosine deaminase inhibitor|Ribonucleoside reductase inhibitor
palonosetron	Serotonin receptor antagonist
SID-26681509	Cathepsin inhibitor
clofarabine	Ribonucleoside reductase inhibitor
1-EBIO	Potassium channel activator
TG-101348	JAK inhibitor|FLT3 inhibitor
BAY-59-3074	Cannabinoid receptor antagonist
gemcitabine	Ribonucleoside reductase inhibitor
methyllidocaine	Antiarrhythmic
JNJ-7706621	CDK inhibitor
levalbuterol	Adrenergic receptor agonist
BRD-K37940862	Neuropeptide receptor antagonist
thiomersal	Antibiotic
gemifloxacin	Bacterial DNA inhibitor
BRD-K68873215	Phosphodiesterase inhibitor
profenamine	Butyrylcholinesterase inhibitor|Cholinergic receptor antagonist
erythromycin-estolate	Bacterial 50S ribosomal subunit inhibitor
indirubin	CDK inhibitor|GSK inhibitor
1-monopalmitin	P-glycoprotein inhibitor
acenocoumarol	Vitamin K antagonist
isoxicam	Cyclooxygenase inhibitor
tranilast	Angiogenesis inhibitor
siguazodan	Phosphodiesterase inhibitor
BRD-K59222562	DYRK inhibitor
indoramin	Adrenergic receptor antagonist
nitrocaramiphen	Cholinergic receptor antagonist
SR-142948	Neurotensin receptor antagonist
biotin	Vitamin B
BAPTA-AM	Potassium channel antagonist
KO-143	Breast cancer resistance protein inhibitor
terreic-acid	BTK inhibitor
aminoindazole	Ionophore
ambroxol	Sodium channel inhibitor
MEK-162	MEK inhibitor
AMG-487	CC chemokine receptor antagonist
mycophenolate-mofetil	Inosine monophosphate dehydrogenase inhibitor|Dehydrogenase inhibitor|Hydroxycarboxylic acid receptor agonist|Immunosuppressant|Inositol monophosphatase inhibitor
azaperone	Dopamine receptor antagonist
BRD-U01690642	Isoprenylated protein methylation inhibitor
carmustine	DNA alkylating agent|DNA inhibitor
pyrvinium-pamoate	Androgen receptor antagonist|AKT inhibitor
butenafine	Fungal squalene epoxidase inhibitor
linsidomine	Nitric oxide donor
MLN-9708	Proteasome inhibitor
latanoprost	Prostanoid receptor agonist
ipriflavone	Bone resorption inhibitor
piromidic-acid	Bacterial DNA inhibitor
AZD-5363	AKT inhibitor
SU-11274	HGF receptor inhibitor|Tyrosine kinase inhibitor
swainsonine	Alpha mannosidase inhibitor
WAY-362450	FXR agonist
estrone	Estrogen receptor agonist|Estrogenic hormone
sparfloxacin	Bacterial DNA Gyrase inhibitor
LY-2109761	TGF-beta receptor inhibitor
rufloxacin	Bacterial DNA Gyrase inhibitor
oxyquinoline	Chelating agent
disulfiram	Aldehyde dehydrogenase inhibitor|DNA methyltransferase inhibitor|TRPV agonist
SDZ-205-557	Serotonin receptor antagonist
pinacidil	ATP channel activator|Potassium channel activator
wortmannin	PI3K inhibitor
vinpocetine	Phosphodiesterase inhibitor
PD-128907	Dopamine receptor agonist
beclometasone	Glucocorticoid receptor agonist
cyclobenzaprine	Adrenergic receptor agonist|Serotonin receptor agonist
FGIN-1-43	Benzodiazepine receptor agonist
dilazep	Adenosine receptor antagonist
KU-55933	ATM kinase inhibitor
tirasemtiv	Troponin activator
PK-11195	Benzodiazepine receptor antagonist
diethylcarbamazine	Lipoxygenase inhibitor
FR-139317	Endothelin receptor antagonist
pseudopelletierine	Anthelmintic
clozapine	Serotonin receptor antagonist|Dopamine receptor antagonist
guanadrel	Adrenergic receptor antagonist
ABT-751	Tubulin inhibitor
diosmin	Aryl hydrocarbon receptor agonist|Capillary stabilizing agent
ziprasidone	Dopamine receptor antagonist|Serotonin receptor antagonist
PSB-1115	Adenosine receptor antagonist
mitiglinide	Insulin secretagogue
alosetron	Serotonin receptor antagonist
bepridil	Calcium channel blocker
BML-259	CDK inhibitor
telbivudine	DNA inhibitor
efavirenz	HIV inhibitor
ornidazole	Antiprotozoal
MDL-28170	Calpain inhibitor
mometasone	Glucocorticoid receptor agonist
DUP-697	Cyclooxygenase inhibitor
taurodeoxycholic-acid	Bile acid
brompheniramine	Histamine receptor antagonist
articaine	Anesthetic - local
narlaprevir	HCV inhibitor
daunorubicin	Topoisomerase inhibitor
PF-04620110	Diacylglycerol O acyltransferase inhibitor
scriptaid	HDAC inhibitor
iobenguane	Carcinogen
taurocholic-acid	G protein-coupled receptor agonist
skimmianine	Acetylcholinesterase inhibitor|Furoquinoline alkaloid
SU-4312	Tyrosine kinase inhibitor
BP-554	Serotonin receptor agonist
sulfamonomethoxine	Bacterial antifolate
basimglurant	Glutamate receptor antagonist
methyldopa	Adrenergic receptor agonist
DASB	Serotonin receptor antagonist
BS-181	CDK inhibitor
serotonin	Growth factor receptor activator
R-96544	Serotonin receptor antagonist
camptothecin	Topoisomerase inhibitor
isorotenone	Mitochondrial inhibitor|NADH-ubiquinone oxidoreductase (Complex I) inhibitor
resveratrol	Cytochrome P450 inhibitor
gliquidone	Sulfonylurea
faropenem	Lactamase inhibitor
BRD-A95513702	Aromatase inhibitor
pirlindole	Monoamine oxidase inhibitor
HDAC1-selective	HDAC inhibitor
aminolevulinic-acid	Oxidizing agent
bromhexine	Mucolytic
voreloxin	Topoisomerase inhibitor
SC-10	Protein kinase activator
oxindole-I	VEGFR inhibitor
butabindide	Tripeptidyl peptidase inhibitor
betulinic-acid	Apoptosis stimulant|Caspase activator|Diacylglycerol O acyltransferase inhibitor|HIV integrase inhibitor|NFKB activator|SARS coronavirus 3C-like protease inhibitor|Topoisomerase inhibitor
isbufylline	Phosphodiesterase inhibitor
arctigenin	MEK inhibitor
PP-1	Src inhibitor|Abl inhibitor
BRD-A49680073	JAK inhibitor|Lipocortin synthesis stimulant|STAT inhibitor
tocainide	Sodium channel inhibitor
STA-5326	Interleukin inhibitor
BRD-A49544621	Urotensin receptor agonist
amantadine	Glutamate receptor antagonist
tacrine	Acetylcholinesterase inhibitor
clenbuterol	Adrenergic receptor agonist
BRD-A13133631	Glucocorticoid receptor agonist
budipine	Glutamate receptor antagonist
narciclasine	LIM kinase activator|Rho associated kinase activator
pinocembrin	CYP1B1 inhibitor
BRD-K79437791	Inhibitor of methylation of endogenous isoprenylated proteins
caffeic-acid	Tumor necrosis factor production inhibitor
zaldaride	Calmodulin inhibitor
ML-193	G protein-coupled receptor antagonist
ethisterone	Progestogen hormone
AM-251	Cannabinoid receptor antagonist
capecitabine	DNA synthesis inhibitor|Thymidylate synthase inhibitor
GSK-256066	Phosphodiesterase inhibitor
nocodazole	Tubulin inhibitor
GBR-13069	Dopamine uptake inhibitor
BW-B70C	Lipoxygenase inhibitor
ilomastat	Matrix metalloprotease inhibitor
AICA-ribonucleotide	AMPK activator
BRD-K38310698	Protein synthesis inhibitor
D-64406	PDGFR inhibitor
ozagrel	Thromboxane synthase inhibitor
preladenant	Adenosine receptor antagonist
BAS-09104376	HIV inhibitor
pirenoxine	AGE inhibitor
LCL-161	XIAP inhibitor
naftifine	Fungal squalene epoxidase inhibitor
desipramine	Tricyclic antidepressant
etifenin	Compound used in hepatobiliary scans of the liver
thioperamide	Histamine receptor antagonist
epothilone-a	Tubulin inhibitor
Ro-16-6941	Monoamine oxidase inhibitor
BRD-A66861218	Anti-inflammatory agent
nizofenone	Ion channel antagonist
NAN-190	Serotonin receptor agonist
nalidixic-acid	Bacterial DNA inhibitor
harpagoside	Acetylcholinesterase inhibitor
BRD-K61033289	PPAR receptor agonist
quetiapine	Serotonin receptor antagonist
BRD-K29542628	Src inhibitor
SC-9	Protein synthesis stimulant
paracetamol	Cyclooxygenase inhibitor
GSK-J1	Histone demethylase inhibitor
AM-630	Cannabinoid receptor antagonist
cariporide	Sodium channel inhibitor
SM-21	Sigma receptor antagonist
prothionamide	Mycobacterium tuberculosis enoyl-[acyl-carrier-protein] reductase [NADH] (inhA) inhibitor
ZK-811752	CC chemokine receptor antagonist
risperidone	Dopamine receptor antagonist|Serotonin receptor antagonist
BRD-K23922020	Acetylcholine receptor agonist
BRD-A05680309	Caspase activator
SB-334867	Orexin receptor antagonist
AZD-9668	Elastase inhibitor
buddleoflavonoloside	Acetylcholinesterase inhibitor
piperacillin	Bacterial cell wall synthesis inhibitor
efaproxiral	Haemoglobin oxygen release stimulant
dapsone	Bacterial antifolate
mubritinib	Receptor tyrosine protein kinase inhibitor
JX-401	P38 MAPK inhibitor
NCS-382	GABA receptor antagonist
isoprenaline	Adrenergic receptor agonist
ML-281	Serine/threonine kinase inhibitor
LY-320135	Cannabinoid receptor antagonist
RG-13022	PDGFR inhibitor
diclofenamide	Carbonic anhydrase inhibitor
O-2050	Cannabinoid receptor antagonist
trimidox	Ribonucleoside reductase inhibitor
P-1075	Potassium channel activator
CAY-10415	Insulin sensitizer
NVP-BHG712	Ephrin inhibitor
telmisartan	Angiotensin receptor antagonist
midazolam	Benzodiazepine receptor agonist
EMD-84	Angiotensin receptor antagonist
meclofenoxate	Nootropic agent
MST-312	Telomerase inhibitor
DMP-777	Elastase inhibitor
GW-9508	Fatty acid receptor agonist|Free fatty acid receptor agonist|G protein-coupled receptor agonist
carbaryl	Acetylcholinesterase inhibitor
calycanthine	GABA receptor antagonist
saccharin	DNA inhibitor
flucytosine	Antifungal
diacerein	Interleukin inhibitor
phloretin	Sodium channel inhibitor
GW-788388	ALK inhibitor
metronidazole	Bacterial DNA inhibitor
edaravone	Nootropic agent
naftidrofuryl	Adrenergic receptor antagonist
BRD-K82225283	Nitric oxide stimulant|Guanylate cyclase stimulant
5'-guanidinonaltrindole	Opioid receptor antagonist
norcitalopram	Serotonin receptor antagonist
BRD-A49765801	Glucocorticoid receptor agonist
LDN-57444	Ubiquitin C-terminal hydrolase inhibitor
BRD-K70821460	Histamine receptor agonist
clinofibrate	Lipase inhibitor
BRD-A20239487	Adrenergic receptor antagonist
GW-583340	Receptor tyrosine protein kinase inhibitor|EGFR inhibitor|ERBB2 inhibitor
aphidicolin	RNA synthesis inhibitor
balicatib	Cathepsin inhibitor
TAK-285	EGFR inhibitor
solanine	Acetylcholinesterase inhibitor
auraptene	Nitric oxide production inhibitor
SN-38	Topoisomerase inhibitor
bufexamac	Cyclooxygenase inhibitor
N20C	Glutamate receptor antagonist
etilefrine	Adrenergic receptor agonist
RS-102895	CCR antagonist
quetiapine	Dopamine receptor antagonist|Serotonin receptor antagonist
spiramide	Dopamine receptor antagonist|Serotonin receptor antagonist
asenapine	Dopamine receptor antagonist|Serotonin receptor antagonist
PCI-29732	BTK inhibitor
mepireserpate	Catechol O methyltransferase inhibitor
U-99194	Dopamine receptor antagonist
amisulpride	Dopamine receptor antagonist
metamizole	Cyclooxygenase inhibitor|Opioid receptor agonist
BRD-K26548821	Dopamine receptor agonist
benzanthrone	Aromatic hydrocarbon derivative
deflazacort	Glucocorticoid receptor agonist
lysylphenylalanyl-tyrosine	Heparin activation inhibitor
isometheptene	Vasoconstrictor
anastrozole	Aromatase inhibitor
moracizine	Sodium channel inhibitor
ramelteon	Melatonin receptor agonist
BRD-A01295252	Dopamine receptor antagonist
baccatin-III	Paclitaxel precursor
goserelin	Luteinizing hormone releasing hormone agonist
thiazolopyrimidine	CDC inhibitor
GW-9662	PPAR receptor antagonist
perillyl-alcohol	Apoptosis stimulant|Cell cycle inhibitor|Farnesyltransferase inhibitor
coumaric-acid	Antioxidant
mizolastine	Histamine receptor antagonist
arachidonamide	Cannabinoid receptor agonist
mafenide	Carbonic anhydrase inhibitor
L-745870	Dopamine receptor antagonist
prostratin	PKC activator
PAC-1	Caspase activator
BRD-K20497775	Aryl hydrocarbon receptor agonist
CYT-997	Tubulin inhibitor
5-iodotubercidin	Adenosine kinase inhibitor
busulfan	DNA inhibitor
PCO-400	Potassium channel activator
guanfacine	Adrenergic receptor agonist
vinblastine	Microtubule inhibitor
chelerythrine	Protein kinase inhibitor
AZD-8330	MEK inhibitor
medroxyprogesterone-acetate	Progesterone receptor agonist
BI-D1870	Ribosomal protein inhibitor
PF-04691502	MTOR inhibitor|PI3K inhibitor
droperidol	Dopamine receptor antagonist
aloisine	CDK inhibitor|CFTR channel agonist|GSK inhibitor
dyphylline	Adenosine receptor antagonist|Phosphodiesterase inhibitor
LE-135	Retinoid receptor agonist
geranylgeraniol	Farnesyltransferase inhibitor
tedizolid	Bacterial 50S ribosomal subunit inhibitor
BRD-K07888196	IGF-1 inhibitor
deferasirox	Chelating agent
L-stepholidine	Dopamine receptor agonist|Dopamine receptor antagonist
LB-42708	Farnesyltransferase inhibitor
lawsone	Coloring agent
SKF-89976A	GABA receptor antagonist
BRD-K30697463	Glucocorticoid receptor agonist
fraxetin	Antioxidant
nandrolone	Imidazoline receptor agonist
levamisole	Acetylcholine receptor agonist
oxalomalic-acid	Isocitrate dehydrogenase inhibitor
S-26948	PPAR receptor agonist
trap-101	Opioid receptor antagonist|Nociceptin/orphanin FQ (NOP) receptor antagonist
BRD-K61106942	Pyruvate kinase isozyme activator
seneciphylline	Cytochrome P450 inhibitor
brimonidine	Adrenergic receptor agonist
tolazoline	Adrenergic receptor antagonist
CAY-10594	Phospholipase inhibitor
regadenoson	Adenosine receptor agonist
tubocurarine	Acetylcholine receptor antagonist
TYRPHOSTIN-46	Tyrosine kinase inhibitor
oxaprozin	Cyclooxygenase inhibitor
thiethylperazine	Dopamine receptor antagonist
BRD-K59573506	Androgen receptor antagonist|Progesterone receptor agonist|Testosterone receptor antagonist
oxotremorine-sesquifumarate	Cholinergic receptor agonist
manumycin-a	Farnesyltransferase inhibitor|NFKB inhibitor
tanaproget	Progesterone receptor agonist
benzoxiquine	Anti-inflammatory
geniposide	GLP receptor agonist
SB-366791	TRPV antagonist
RS-79948	Adrenergic receptor antagonist
adrenosterone	11-beta-HSD1 inhibitor
LGK-974	Porcupine inhibitor
phenanthridone	PARP inhibitor
pritelivir	Helicase primase inhibitor
LE-300	Dopamine receptor antagonist
flunisolide	Cytochrome P450 inhibitor
DY-131	Estrogen receptor agonist
terbinafine	Fungal squalene epoxidase inhibitor
TAK-715	P38 MAPK inhibitor
BRD-K09635134	Negative control for D-erythro-MAPP
quercetin	Polar auxin transport inhibitor
AVL-292	BTK inhibitor
KIN-001-220	Aurora kinase inhibitor
alfaxalone	Chloride channel activator|GABA receptor agonist
sulconazole	Sterol demethylase inhibitor
TCS-359	FLT3 inhibitor
maackiain	Sodium channel inhibitor
KU-C103885	Cystic fibrosis transmembrane conductance regulator inhibitor
AG-879	Tyrosine kinase inhibitor|Angiogenesis inhibitor|VEGFR inhibitor
mestanolone	Androgen receptor antagonist
DPPE	Histamine receptor antagonist
guggulsterone	Estrogen receptor agonist|Cholesterol inhibitor|FXR antagonist|IKK inhibitor|Progesterone receptor agonist|PXR agonist
propofol	GABA receptor agonist
lasalocid	Bacterial permeability inducer
RS-127445	Serotonin receptor antagonist
honokiol	AKT inhibitor
oleoylethanolamide	Cannabinoid receptor agonist|Glucose dependent insulinotropic receptor agonist|Potassium channel blocker|PPAR receptor agonist
phenoxybenzamine	Adrenergic receptor antagonist
PCA-4248	Platelet activating factor receptor antagonist
SU-1498	VEGFR inhibitor
AZD-8931	EGFR inhibitor
rupatadine	Histamine receptor antagonist|Platelet activating factor receptor antagonist
altrenogest	Progestogen hormone
AG-592	Tyrosine kinase inhibitor
azacyclonol	Histamine receptor antagonist
cyclopiazonic-acid	ATPase inhibitor
cinobufagin	Na/K-ATPase inhibitor
NSC-693868	GSK-3 inhibitor
NSC-119889	Protein synthesis inhibitor
L-161982	Prostanoid receptor antagonist
terbutaline	Adrenergic receptor agonist
CAY-10578	Casein kinase inhibitor
GANT-61	GLI antagonist
rifaximin	RNA synthesis inhibitor
matrine	Opioid receptor agonist
volasertib	PLK inhibitor
isogedunin	HSP inhibitor
SCH-23390	Dopamine receptor antagonist
ML-167	CLK inhibitor|DYRK inhibitor
florfenicol	Protein synthesis inhibitor
corynanthine	Adrenergic receptor antagonist
cortisone-acetate	Glucocorticoid receptor agonist
FK-33-824	Opioid receptor agonist
7b-cis	Exportin antagonist
